Nombre;Direccion;Distrito;Telefono
CLINICA LIMATAMBO - SEDE SAN JUAN;Av. Proceres De La Independencia N° 2701, San Juan de Lurigancho;San Juan de Lurigancho;(001) 415-1600
CSALUD - CLINICA MAISON SANTE SEDE SURCO;Prolongación Av.Benavides N° 5362, Surco;Santiago de Surco;(001) 619-6000
CSALUD - CLINICA MAISON DE SANTE DEL SUR;Av. Chorrillos N° 171 – 173, Chorrillos;Chorrillos;(001) 619-6000
CLINICA CAMPOS E.I.R.L.;AV. Mariscal Benavides 554 San Vicente Cañete;Cañete;(001)5812082
CLINICA LA SOLIDARIDAD;Av. Victor Raul Haya de la Torre N° 165;Barranca;01-2353603
PROMOTORA DE SALUD SAKURA;CALLE JULIO C. TELLO Nº 300;Huaral;2461768
CLINICA CORAZON DE JESUS;AVENIDA MARISCAL BENAVIDES NÚMERO 565 PISO 5 DISTRITO SAN VICENTE;Cañete;5813115
CENTRO MÉDICO ALTASALUD;CALLE PEDRO REYES BARBOZA NÚMERO 190;Barranca;995960500
POLICLINICO NUEVA ESPERANZA E.I.R.L;AVENIDA AV. SOLAR Nº 295;Huaral;01-2461586
SERVICIOS DE LABORATORIO HUARAL;AVENIDA CAHUAS NÚMERO 700;Huaral;980759298
CLINICA VESALIO;Cl. Joseph Thompon N° 140, Urb. Santo Tomas, San Borja;San Borja;(001) 618-9999
CLINICA HIGUERETA;Av. Benavides 2951;Miraflores;4622980
MAPFRE CENTRO MEDICO INDEPENDENCIA;Av. Industrial Mz D Lt 12 Independencia;Independencia;922 996 516
MAPFRE CENTRO MEDICO SAN MIGUEL;CALLE CARDENAL GUEVARA NÚMERO 132;San Miguel;998 634 204
MAPFRE CENTRO MEDICO MAGDALENA;Av. Javier Prado Oeste N° 2501 Piso 1;Magdalena;941 958 054
MAPFRE CENTRO MEDICO SURCO;Av. Caminos del Inca 238;Santiago de Surco;923 346 851
GRUPO SERVICIOS MEDICOS INTEGRALES;Av. Universitaria N° 491, San Miguel;San Miguel;(001) 655-5621
CLINICA AVIVA - SEDE LOS OLIVOS;AVENIDA ALFREDO MENDIOLA NÚMERO 6301 URBANIZACIÓN SANTA LUISA;Los Olivos;7154600
CLINICA AVIVA - SEDE COLONIAL;AVENIDA Colonial NUMERO 443;Cercado de Lima;993752490
INTITUTO GAMMA KNIFE DEL PACIFICO;Calle Gervasio Santillana N° 245 Urb. Barboncito;Miraflores;7053126
MILENIUM SALUD;AV. PETIT THOUARS 4136;Miraflores;(001) 4229676
MEDAVAN- MEDICINA AVANZADA;Jirón Flora Tristán 206;Magdalena;(001) 261-1737
CLINICA SANENS;Av. Prolongación Ricardo Palma N° 298;Surquillo;1-7162999
CLINICA INTERNACIONAL;Jr. Washington N° 1471, Lima;Cercado de Lima;(001) 619-6161
CLINICA INTERNACIONAL SEDE SAN ISIDRO;AV. PASEO DE LA REPUBLICA Nº 3058 SAN ISIDRO;San Isidro;6196161-4100
CREO - CLINICA RENAL Y ONCOLOGICA;JIRÓN ELOY ESPINOZA SALDAÑA 700 PALAO CUARTA ETAPA;San Martin de Porres;01 -289 8300
SANNA - Centro Clínico La Molina;Av. Raúl Ferrero Rebagliati N° 1256 - La Molina;La Molina;(001) 635-5000
SANNA- Centro Clínico Chacarilla;Av. Primavera N° 336 Urb. Chacarilla del Estanque;Santiago de Surco;943884232
CLINICA SAN MARCOS;AV. SANTA ROSA 1719 - URB. INCA MANCO CAPAC;San Juan de Lurigancho;4590918
SAN PABLO - CLINICA JESUS DEL NORTE;Av. Carlos Izaguirre N° 149 – 153, Independencia;Independencia;(001) 613-4444
CLINICA SAN PABLO LA VICTORIA S.A.C;AVENIDA IQUITOS NUMERO 600;La Victoria;998354183
CLINICA SAN GABRIEL;Av. La Marina N° 2955, Urb. Maranga II Etapa, San Miguel;San Miguel;(001) 614-2222
"SAN PABLO - CLINICA SAN JUAN BAUTISTA- NUEVO
SAN JUAN";Jr. Los Zafiros Mz. g Lt. 10, San Juan de Lurigancho;San Juan de Lurigancho;(001) 610-4545
"SAN PABLO - CLINICA SANTA MARIA DEL SUR / SANTA
MARTHA DEL SUR";Av. Belisario Suarez N° 998, Zona C, S.Juan de Miraflores;San Juan de Miraflores;6156767
ASOCIACION MILAGRO DIVINO NIÑO JESUS;JR ISMAEL ESCOBAR 329;San Juan de Miraflores;612-6666
CLINICA LA LUZ;Av. Arequipa 1148;Cercado de Lima;6139292
CENTRO MEDICO JOCKEY SALUD;Av. Javier Prado Este N° 4200 - Santiago de Surco;Santiago de Surco;(001) 712-3456
MEDEX-MEDICINA EXTERNA;Av. Republica de Panama N° 3065,San Isidro;San Isidro;(001) 442-6284
INVERSIONES MEGAVISION (PRONTTO SALUD);Av. Manco Capac N° 700;La Victoria;332-8711
SUIZA LAB;AVENIDA LA ENCALADA NÚMERO 1090;Santiago de Surco;(01) 612-6666
SUIZA LAB;AV ANGAMOS OESTE N° 300;Miraflores;(01) 612-6666
CLINICA QUIRURGICA SANTA MARIA;Calle Las águilas N° 360 Urb. Limatambo;Surquillo;6156767
CLINICA SANTA BEATRIZ;Jr. Ramon Dagnino 227;Jesus Maria;6116200
CLINICA SANTA BEATRIZ;Teodoro Cardenas N° 130;Cercado de Lima;4800535
CLINICA PORVENIR (DE MUJERES);AVENIDA FRANCISCO MARIATEGUI 1418;Jesus Maria;6528282
FMC MEDICAL CENTER CENTRO DE DIAGNOSTICO;Av. San Borja Sur. N° 237.;San Borja;(1) 6280796
CLINICA MUNDO SALUD;Carlos Yzaguirre N° 1234;Los Olivos;5235900
CLINICA SAN VICENTE;AV. PERÚ 3220 SAN MARTIN DE PORRES;San Martin de Porres;01-5683032
CM CLINICA LAS PALMERAS;AV. JAVIER PRADO OESTE 1465 SAN ISIDRO;San Isidro;4425879
CLINICA SAN BERNARDO;CALLE SAN JOSE 161 MAGDALENA;Pueblo Libre;051-4600437
CLINICA LOS ANDES;Cl. Asunción 177 - San Isidro;Miraflores;(001) 221-0468
"CENTRO MEDICO RICARDO PALMA SEDE PLAZA LIMA
SUR";Av. Prolongacion Paseo De La Republica s/n, urb. Matellini, Chorrillos;Chorrillos;(001) 617-8200
SAN MARTIN DEL ESTE;Av. Proceres de la Independencia N° 576 Urb. Chacarilla de Otero;San Juan de Lurigancho;998703939
SERVICIOS MEDICOS NATANAEL - MEDICAL PLUS;Jr. Coronel Camilo Carrillo 260, 1er Piso - Jesus Maria;Jesus Maria;(001) 330-7429
PIRPALAP - HOSPITAL MEGASALUD UNIVERSAL;AV. EMANCIPACION 785-791-799;Cercado de Lima;17638260
CLINICA ALVAREZ - INVERSIONES PARA LA CIENCIA Y;JIRÓN EL POLO N° 545 MZ D LT. 3AB URB. EL DERBY;Santiago de Surco;992732402
INTEGRAMEDICA;AVENIDA Guardia Civil NUMERO 664 URBANIZACION Corpac;San Borja;7112123
CONSORCIO MEDICO DESCENTRALIZADO;CALLE SOR TITA 136 DPTO 305 URB BENAVIDES;Miraflores;01-7437933
MASTER MEDIC - DOCTOR LIFE;CALLE LOS NAZCAS 280 URB. MARANGA ETAPA 2 SAN MIGUEL;San Miguel;724 6952 RPM #944 814 018
MED@HOME;Jr. Bolivar N° 472 Dpto 207;Miraflores;975112303
PLAN VITAL (OMNIA MEDICA);MARISCAL LA MAR 991 PISO 3;Magdalena;627-1925
CENTRO DE DIAGNOSTICO SAN ISIDRO;Av. Guardia Civil 254 San Isidro;San Isidro;(001) 226-3535
CENTRO DE MEDICINA HIPERBARICA;Av. Guzmán Blanco N° 199, Cercado;Cercado de Lima;(001) 433-5049
CEREMA-CENTRO DE RESONANCIA MAGNETICA;Cl. Velasquez N° 109, San Borja;San Borja;(001) 225-0030
UNITED - CIMEDIC CENTRO DE IMAGENES MEDICAS;Av. Arequipa N° 3362, San Isidro;San Isidro;(001) 442-2222
DIALYSIS SERVICE;Cl. Costa Rica N° 283, Urb. San Felipe, Jesus María;Jesus Maria;(001) 462-0311
DPI DEL PERU;Av. Dos De Mayo N° 602, San Isidro;San Isidro;(001) 202-3333
MEDIMAGEN - EMETAC;Av. Pettit Thouars 485;Miraflores;14217217
INSTITUTO DE IMÁGENES MEDICAS-CONSULTORIO EC;Av. Alfonso Ugarte N° 560, Lima;Cercado de Lima;(001) 4232309
INTEGRAMEDICA;AV. ALFREDO MENDIOLA 3698 C.C. MEGAPLAZA TIENDA A13;INDEPENDENCIA;711-2100
LITOTRICIA JAVIER PRADO;Av. Javier Prado Este N° 499, San Isidro;San Isidro;(001) 2114141
LITOTRICIA SAC;CALLE JAIME HERRERA ARDILES NO.307 PUEBLO LIBRE;Pueblo Libre;4606152
MED NUCLEAR;CALLE MONTE GRANDE Nº 109 OF Nº 202 CHACARILLA SANTIAGO DE SURCO;Santiago de Surco;01-3721149
RESOMASA;Av. Javier Prado Este Nº 1178 San Isidro;San Isidro;(001) 212-2034
RESOMASA;Av. Emilio Cavenecia Nº 265 San Isidro;San Isidro;(001) 421-5370
RESOCENTRO - RESONANCIA MEDICA;Av. Petit Thouars n° 4443,Miraflores;Miraflores;(001) 221-1630,(001) 221-0416
SCAN MEDIC - SIMEDIC;Jr. Vía Lactea N° 454 Urb. Haras Tyber Surco;Santiago de Surco;3552265
TOMOMEDIC;Cl. La Conquista N° 145, Urb. El  Derby de Monterrico, Surco;Santiago de Surco;(001) 610-33333,(001) 610-3219
MEDIMAGEN - EMETAC;AVENIDA Argentina NÚMERO 3093 DISTRITO CALLAO;Callao;998167998
CEDOMUH;Jr. Manuel del Pino 110, Lima;Cercado de Lima;2662315
CENTRO MEDICO OSI;Cl. Gonzales Prada N 385 Miraflores;Miraflores;7390888
CENTRO MEDICO OSI;Cl Saco Oliveros N 295 OF 303 Urb. Santa Beatriz-Lima;Cercado de Lima;7390888
CENTRO MEDICO OSI;Av. El pinar 198 Urb. Chacarilla - Santiago de Surco;Santiago de Surco;7390888
CENTRO MEDICO OSI;CALLE LOS ANTARES 320 INT. 202. TORRE B URB. ALBORADA;Santiago de Surco;4463693
CENTRO MEDICO OSI;Jose Santos Chocano N° 1010 Los olivos;Los Olivos;7390888
REHMED HOME;Av. Brasil 2330- Magdalena;Magdalena;4615459
CLINICA DE LA COLUMNA;Cl. Monte Rosa N° 125, Of. 2C3, C.C.Chacarrilla, Santiago de Surco;Santiago de Surco;(001) 372-7339
EN SALUD Y BIENESTAR;AVENIDA LOS RUISEÑORES NÚMERO 578 URBANIZACIÓN SANTA ANITA;Santa Anita;957997406
FISIOGROUP PERU;Av. Tupac Amaru N° 227;Comas;993445619
FISIOSERVICE;Av. Tupac Amaru 7885 1er piso -Urb San Juan Bautista -Comas;Comas;5247473
MEDIREHAB;AV. TALARA N° 281 URB. FUNDO OYAGUE JESUS MARIA;Jesus Maria;
NEOMEDICA;AVENIDA LARCO Nº 743 OFICINA 902;Miraflores;7244186
G&M FISIOTERAPIA - ALIVIAR;Av. Primavera N° 517 Dpto. 107 Urb. Chacarilla del Estanque;Santiago de Surco;944994828
SANUS VITA - MUNDO DE LA REHABILITACION;Jirón Los Jazmines N° 229 Urb. Los Jardines Viru - Bellavista;Callao;7255342
CENTRO MEDICO LA UNION;AVENIDA RAUL FERRERO REBAGLIATI 2A NÚMERO 1280 PISO 2 MANZANA C2 LOT;La Molina;7390888
CENTRO MEDICO LA UNION;JIRON CAPAC YUPANQUI N° 953;Jesus María;7390888
CENTRO MEDICO OSI;Av. Rafael Escardó Aguirre 656;San Miguel;7390888
CENTRO MEDICO OSI;Av. Aviación 4004;Surquillo;7390888
CENTRO MEDICO OSI;Av. Argentina 3096 Piso 2;Callao;7390888
CENTRO MEDICO LA UNION;Av. Javier Prado 757 Of 905;Magdalena;7390888
ALDI DENT;Av. Brasil N° 2945, Magdalena;Magdalena;(001) 461-4338,(001) 461-0289
ALDI DENT;Av.San Luis 1960 Int 201, San Borja;San Borja;2255121
ALDI DENT;Av. Flora Tristan 586 - 588 Urb. Santa Patricia;La molina;4614338
ASISDENT;Av. Abancay 256 2do Piso Of 202 Lima;Cercado de Lima;(001) 426-6000
BELLE DENT;Av. Paseo De La Republica 3691, Of. 802, San Isidro;San Isidro;(001) 222-7073
CENTRO DENTAL SAN JOSE;Av.Antunez de Mayolo N° 1008, Dpto. 301,Covida,Los Olivos;Los Olivos;(001) 522-1511,(001) 522-2005
CENTRO DENTAL SAN JOSE;Av. Oscar R. Benavides N° 5016, Dto 402, Torre F, Urb. San Jose, Benavides, Callao;Callao;(001) 452-5396,(001) 464-7773
CENTRO DENTAL SAN JOSE;Av. Geminis N° E - 27, Urb. Papa Juan XXIII, San Borja;San Borja;(001) 225-9510,(001) 226-1266
CENTRO DENTAL SAN JOSE;Cl. Las Camelias N° 741-B, 3er. Piso, San Isidro;San Isidro;(001) 422-8306,(001) 222-8911
CENTRO DENTAL SAN JOSE;AVENIDA RAFAEL ESCARDO NÚMERO 771 URBANIZACIÓN MARANGA SEPTIMA ET;San Miguel;998707523
CENTRO MEDICO ODONTOLOGICO AMERICANO-COA;Cl. Santa Sofia N° 109, Urb. Camacho, La Molina;La Molina;(001) 436-2883
CENTRO MEDICO ODONTOLOGICO AMERICANO-COA;Jr. Camana N° 780, Oficina 508, Lima;Cercado de Lima;(001) 427-0158
CENTRO MEDICO ODONTOLOGICO AMERICANO-COA;Cl. Las Chulpas N° 296, Oficina 201 - 202, Urb,. Zarate,SJLurigancho;San Juan de Lurigancho;(001) 458-6472
CENTRO MEDICO ODONTOLOGICO AMERICANO-COA;Cl. Monseñor Jorge Dintilhac N° 717 - 1° Piso, San Miguel;San Miguel;(001) 451-5553
CENTRO MEDICO ODONTOLOGICO AMERICANO-COA;Av. Guillermo Billinghurst Nº 619 Mz. G Lt. 33 Zona D Urb. SJ Miraflores;San Juan de Miraflores;(001) 275-4687
CENTRO MEDICO ODONTOLOGICO AMERICANO-COA;Av. Joaquín Madrid N° 235 1er piso, Urb. Las Camelias, San Borja;San Borja;(001) 225-0809
CENTRO ODONTOLOGICO LOS OLIVOS;Cl. Ucayali N° 109, Of. 201, San Miguel;San Miguel;(001) 583-5525,(001) 562-4088
CENTRO ODONTOLOGICO SAN ISIDRO;Av. Angamos Este 2648- Surquillo;Surquillo;(001)449-1006
CENTRO ODONTOLOGICO SAN ISIDRO;Cl. Manuel Bañón Nº236, San Isidro;San Isidro;(001) 221-5853
CLIDENT / PARADENT;Cl. Los Antares 320 Torre A Of. 705 Centro Comercial Nuevo Trigal - Santiago de S;Santiago de Surco;(001) 273-7468
CLINICA DENTAL LAS PALMERAS;AV. JAVIER PRADO OESTE 1465 SAN ISIDRO;San Isidro;2227769
CLINICA DENTAL PASCO;Cl. Van Dyck N° 270, San Borja;San Borja;(001) 436-6686
CLINICA ODONTOLOGICA CANO - ALVAREZ;Av. Reducto N° 900, Miraflores;Miraflores;(001) 445-2656
CORNEJOS DENTAL;Av. Del Pinar 152 Ofic. 407 Urb. Chacarilla;Santiago de Surco;3726566
CROE-CENTRO DE RAHABILITACION ORAL Y ESTETICA;Av. Alfredo Benavides 1579 Dpto. 304, Miraflores;Miraflores;7176990
CROE-CENTRO DE RAHABILITACION ORAL Y ESTETICA;Av. Javier Prado Este 2564 San Borja;San Borja;(001) 436-5220
CROE-CENTRO DE RAHABILITACION ORAL Y ESTETICA;Av. Javier Prado Este 996 San Isidro;San Isidro;(001) 436-5220
CROE-CENTRO DE RAHABILITACION ORAL Y ESTETICA;Av. Del Pinar 136 Int. 404 Urb. Chacarilla;Santiago de Surco;(001) 436-5220
DENTAL CARE-POSITO DEL CARPIO ODONTOLOGÍA;Cl. Manuel A. Fuentes N° 969-San Isidro;San Isidro;(001) 421-0367
DENTAL SMILE;AV.JORGE CHAVEZ 115 OFC. 202;Santiago de Surco;01-4459353
DENTAL VILLA ALEGRIA / SERVICIOS INTEGRALES DE SA;AVENIDA SUCRE 538 A;Magdalena;01-2634878
INTEGRADENT;AV. GUARDIA CIVIL 394 URB. CORPAC SAN ISIDRO;San Isidro;(01) 2264160
MEDICAL DENT PACIFIC IMPORT;CALLE UCAYALI 164 SAN MIGUEL;San Miguel;4518417
MULTIDENT;Av. La Merced N° 227, Miraflores;Miraflores;3190510
MULTIDENT;Av. San Borja Sur N° 850, San Borja;San Borja;(001) 225-1126
MULTIDENT;Av. Cesar Vallejo N° 1560, Lince;Lince;(001) 470-0585
MULTIDENT;Av. Huaylas N° 714, Of. 208, Chorrillos;Chorrillos;(001) 467-4942
MULTIDENT;Calle Laureano Martinez 160 San Miguel;San Miguel;(001) 263-7878
MULTISONRISAS / DENTAL CONSULTING;Av. Republica de Panamá 6276 -2684;Miraflores;(001) 4444431
MULTISONRISAS / DENTAL CONSULTING;Av. Antunez de Mayolo 836 of 201 2do piso;Los Olivos;(001) 521-6470
ODONTOCENTER;Av. Aramburu 118 Of 6;Miraflores;14229016
ODONTOCENTER;Av. La mar 2348;San Miguel;4527078
ODONTOFRESH;Av.Caminos del Inca N° 1138 , Surco;Santiago de Surco;(001) 263-7388
ODONTOFRESH;Jr. Mariscal Ramon Castilla 806 2do piso;Magdalena;(001) 263-7388
ODONTOPLAN;AV : MARISCAL LA MAR # 662 OFICINA 502 , URB SANTA CRUZ , MIRAFLORES.;Miraflores;2220295
RICARDO ODRIA Y ASOCIADOS;Av. Paseo Parodi N° 386, San Isidro;San Isidro;(001) 442-9695
ROVIDENT;AV. PETIT THOUARS 2866 OF. 205 SAN ISIDRO;San Isidro;01-4210948
SERVICIO DENTAL - ODONTOVISION;Calle Enrique Blondet 367 Santa Catalina La Victoria;La Victoria;2266265
SONRIE CLINICAS DENTALES;Av. Arenales N| 1912 Piso 5 Dpto 504;Lince;98111150
SONRIE CLINICAS DENTALES;Calle Isidoro Suarez N° 390;San Miguel;4643882
UNIDENT;Cl. Carlos Tenaud Nº 192 Of 205 Urb. Chama, Surco;Santiago de Surco;(001)448-5733
CLINICA ODONTOLOGICA ALVAREZ;Calle 5 N° 111 Piso 2 Dpto 203;San Isidro;988762688
CENTRO MEDICO ODONTOLOGICO AMERICANO-COA;Av. Caminos del Inca N° 1554;Santiago de Surco;01- 279-1930
CENTRO MEDICO ODONTOLOGICO AMERICANO-COA;AVENIDA PETIT THOUARS 3470;San Isidro;4216323
CENTRO MEDICO ODONTOLOGICO AMERICANO-COA;AVENIDA AV. GUARDIA CHALACA 1362 URB. SANTA MARINA;Callao;01- 4533276
CENTRO MEDICO ODONTOLOGICO AMERICANO-COA;AV. JUAN PABLO FERNANDINI N° 1573;Pueblo Libre;3307492
CORNEJOS DENTAL;AVENIDA JOSE GALVEZ BARRENECHEA NÚMERO 765 PISO 4 DEPARTAMENTO 403;San Borja;4387890
CORNEJOS DENTAL;AV ANGAMOS OESTE N° 651 PISO 5 INTERIOR 505;Miraflores;6859895
SALUD Y TECNOLOGIA SALVA S.A.C.;AVENIDA ALFREDO BENAVIDES NÚMERO 1238 PISO 6 DEPARTAMENTO 603 URBA;Miraflores;14037308
GUIDENT;CALLE 01 MANZANA A LOTE 29 URBANIZACIÓN SANTA ROSA V ETAPA;Chorrillos;989644978
DENTILANDIA KIDS;AV. UNIVERSITARIA NORTE 7714 2DO. PISO URB. SAN AGUSTIN;Comas;5363246
CONSULTORIO DENTAL DOCTORES MOLINA - MULTISO;AVENIDA AREQUIPA NÚMERO 240 PISO 3 INTERIOR 302;Cercado de Lima;990386035
CENTRO MEDICO ODONTOLOGICO AMERICANO-COA;AVENIDA ALAMEDA SAN MARCOS NÚMERO 446 URBANIZACIÓN LOS CEDROS DE;Chorrillos;(01) 3033537
CENTRO MEDICO ODONTOLOGICO AMERICANO-COA;AVENIDA LA PLAYA PISO 2 MANZANA 05 LOTE 25 URBANIZACION AH LOS LICENCI;Ventanilla;963730853
CENTRO MEDICO ODONTOLOGICO AMERICANO-COA;AVENIDA ALFREDO BENAVIDES NUMERO 2027/2031;Miraflores;(01) 682-7169
CENTRO MEDICO ODONTOLOGICO AMERICANO-COA;CALLE LAS TIENDAS N°331 DPTO- 101;Surquillo;(51) 1-4401021
CENTRO MEDICO ODONTOLOGICO AMERICANO-COA;AVENIDA LOS JARDINES OESTE NUMERO 498 MANZANA D LOTE 11 URBANIZACIO;San Juan de Lurigancho;01-4216323
CERDENT;Cl. Lord Cochrane N° 240;San Isidro;4216631-4216643-995745154
CERDENT;Av. Javier Prado Este N° 6210 Of. 301;La Molina;6053974-985547175
CERDENT;Av. Carlos Izaguirre N° 1122;Los Olivos;4851051-990783330
CERDENT;Av. Parque de las Leyendas  210 of 402A;San Miguel;7649156-939537102
CERDENT;Av.SAN BORJA SUR No 781 PISO 2 MANZANA K-13 LOTE 14 URB. SAN BORJA SUR;San Borja;4153469-939537102
CERDENT;AV. General Cesar Canevaro N°116   3erpiso  of 301;Lince;2725390-938952568
CERDENT;Av. Benavides N° 1555, Int. 303;Miraflores;2436468-4461447-946283334
CLINICA ESPECIALIZADA SANTA LUCIA;CALLE SAN MARTIN 144 IQUITOS, MAYNAS;Iquitos;065-235648
BM CLINICA ESPECIALIDADES MEDICAS - MENDOZA;Av. Sesquicentenario N° 416 Urb. Santa Victoria;Chiclayo;074-226136
AUNA - CENTRO MEDICO MONTEVERDE (POLICLINICO;Jr. Huancavelica N°1015, Urb. 4 De Enero Mz. D, Lote 16;Piura;(073) 607651
CENTRO MEDICO CIMA;Av. Pardo N° 978, Cusco;Cusco;(084) 25-5550
CENTRO MEDICO DIVINO NIÑO - MOLLENDO;Prolongación Mariscal Castilla Mz D Lt 1 Urb. Alto San Martin - Mollendo;Arequipa;054-535652
CENTRO MEDICO EL MILAGRO;Av. Juan Santos Atahualpa Mz. I Lt. 5, El Milagro San Ramón;Chanchamayo;(064) 331279
CENTRO MEDICO MONTE CARMELO;Cl. Francisco Gomez De La Torre 119, Urb.La Victoria;Arequipa;(054) 23-1444,(054) 28-7048
CENTRO MEDICO QUIRURGICO JUAN PABLO II;Av. Saens Peña 166;Pucallpa;061-572854
CENTRO MEDICO SAN PEDRO;Cl. Arica N° 246 Tacna;Tacna;(052) 42-6700
CENTRO MEDICO ZELADA & ASOCIADOS;Pj. Rafael De Souza 100A;Pucallpa;061-595296
CLINICA ADVENTISTA ANA STAHL;Av. La Marina N° 285, Iquitos;Iquitos;(065) 25-2535
CLINICA AMERICANA;Jr. Loreto N° 315, Juliaca;Juliaca;(051) 32-1369
CLINICA AMAZONICA;Av. Saens Peña 421 Callería;Pucallpa;(061) - 603877 - 603876
CLINICA AMERICANA SERFARMED;Av. Saens Peña 165;Pucallpa;061-579327
CLINICA AREQUIPA;Esq. Puente Grau y Av. Bolognesi s/n, Arequipa;Arequipa;(054) 59-9000
CLINICA BELEN - JUAN PABLO II;Jr. Villavicencio 376;Chimbote;043-347368
AUNA - CLINICA CAMINO REAL;Jr. Bolognesi  Nº 565, Trujillo;Trujillo;980710994
CLINICA CAYETANO HEREDIA;Avenida Huancavelica N° 745 El Tambo;Huancayo;(064) 24-7087
SANNA - Clínica Del Sur;Av. Bolognesi N° 134, Yanahuara;Arequipa;(054) 749100
CLINICA DE LA FAMILIA;Calle Agricultura Mz 0 Lote B;Tumbes;(072) 52-1251
AUNA - CLINICA VALLESUR;Av. La salle Nº 116 - Cercado - Arequipa;Arequipa;(054)749300
CLINICA DEL PACIFICO;Av. Jose Leonardo Ortiz N° 420 Chiclayo;Chiclayo;(074) 23-2141,(074) 23-6378
HOGAR CLINICA SAN JUAN DE DIOS;Av. Ejercito N° 1020, Cayma;Arequipa;(054) 38-2400
AUNA CLINICA MIRAFLORES;Cl. Las Dalias Manzana A, Lote 12, Urb. Miraflores Castilla;Piura;(073) 34-3037
AUNA CLINICA MIRAFLORES;Cl. Las Dalias Manzana A, Lote 12, Urb. Miraflores Castilla;Piura;(073) 34-3037
CLINICA ESPECIALIZADA SARGENTO LORES;Cl. Sargento Lores N° 425 - 429 Iquitos;Iquitos;(065) 24-2680
CLINICA GASTROSALUD;Cl.  Alfonso Ugarte N° 660, Chiclayo;Chiclayo;(074) 222575
"POLICLINICO CARRION (CENTRO MEDICO DANIEL
ALCIDES CARRION)";Cl. Clorinda Matto de Turner 116, Pablo VI;Arequipa;(054) 20-6171
CLINICA GINMEDIC;PASAJE ANTONIO RAIMONDI Nº 132 BARRIO SAN FRANCISCO;Huaraz;043-421166
CLINICA HUANUCO;Jr. Constitución N° 980, Huanuco;Huanuco;(062) 51-4026
SAN PABLO - CLINICA LA MERCED;Av. Husares de Junin 690 Urb. La Meced;Trujillo;(044) 485244
POLICLINICO GARCIA BRAGAGNINI;Av. Trinidad Moran J-2, Urb. Leon XIII, Cayma;Arequipa;(054) 27-2422
CLINICA DANIEL A. CARRION;Av. San Idelfonso N° 226 - Jr. Lima #566 Chincha Alta;Chincha;(056) 26-2667
CLINICA LIMATAMBO CAJAMARCA-CEMELIM;Jr. Puno N° 265, Cajamarca;Cajamarca;(076) 36-4241
CLINICA ORTEGA;Av. Daniel Alcides Carrion N° 1124 Huancayo;Huancayo;(064) 23-5430
CLINICA PARDO;Av. De la Cultura N° 710, Cusco;Cusco;(084) 256976
CLINICA PERUANO AMERICANA;Av. Mansiche N° 810 Trujillo;Trujillo;(044) 242400
CLINICA PROMEDIC;Cl. Blondell N° 425 Tacna;Tacna;(052) 24-2414
