Nombre;Tipo;RUC;Zona;Direccion;Distrito;Telefono;Lat;Lng
CLINICA DE ESPECIALIDADES MEDICAS UNIVERSAL;CLINICA_GENERAL;20263805021;LIMA CENTRO;Jr. Eduardo Ordoñez N° 468, San Borja;San Borja;(001) 225-5477;-12.10511235738325;-77.00100840012989
CLINICA PADRE LUIS TEZZA;CLINICA_GENERAL;20117357113;LIMA CENTRO;Av. El Polo N° 570, Urb. Monterrico, Santiago de Surco;Santiago de Surco;(001) 610-5050;-12.10309488334168;-76.97042694268214
CLINICA HIGUERETA;CLINICA_GENERAL;20514189723;LIMA CENTRO;Av. Benavides 2951;Miraflores;4622980;-12.127996438156444;-77.00406606119951
RESOMASA;APOYO_DX;20536058690;LIMA CENTRO;Av. Javier Prado Este Nº 1178 San Isidro;San Isidro;(001) 212-2034;-12.089902446605175;-77.0147778156999
RESOMASA;APOYO_DX;20536058690;LIMA CENTRO;Av. Emilio Cavenecia Nº 265 San Isidro;San Isidro;(001) 421-5370;-12.10835071685204;-77.03839182443
CLINICA MONTEFIORI;CLINICA_GENERAL;20461665820;LIMA ESTE;Av. Separadora Industrial N° 380, Urb. Los Cactus, La Molina;La Molina;(001) 437-5151;-12.065422363468091;-76.96572379186968
HOGAR CLINICA SAN JUAN DE DIOS LIMA;CLINICA_GENERAL;20144442629;LIMA ESTE;Av. Nicolas Arriola 3250;San Luis;3191431;-12.06539670817241;-76.98914711599919
CLINICA LIMATAMBO - SEDE SAN JUAN;CLINICA_GENERAL;20101098681;LIMA ESTE;Av. Proceres De La Independencia N° 2701, San Juan de Lurigancho;San Juan de Lurigancho;(001) 415-1600;-11.986149691440673;-77.00708290674528
CSALUD - CLINICA MAISON SANTE SEDE SURCO;CLINICA_GENERAL;20101165389;LIMA SUR;Prolongación Av.Benavides N° 5362, Surco;Santiago de Surco;(001) 619-6000;-12.130095235655594;-76.9802886797671
CSALUD - CLINICA MAISON DE SANTE DEL SUR;CLINICA_GENERAL;20101165389;LIMA SUR;Av. Chorrillos N° 171 – 173, Chorrillos;Chorrillos;(001) 619-6000;-12.157093829509957;-77.02278650009995
CLINICA CAMPOS E.I.R.L.;CLINICA_GENERAL;20491323362;LIMA PROVINCIA;AV. Mariscal Benavides 554 San Vicente Cañete;Cañete;(001)5812082;-13.075559340097117;-76.37871000069386
CLINICA LA SOLIDARIDAD;CLINICA_GENERAL;20571544203;LIMA PROVINCIA;Av. Victor Raul Haya de la Torre N° 165;Barranca;01-2353603;-12.04923438996935;-77.03528918090954
PROMOTORA DE SALUD SAKURA;CLINICA_GENERAL;20530790321;LIMA PROVINCIA;CALLE JULIO C. TELLO Nº 300;Huaral;2461768;-11.495;-77.20778
CLINICA CORAZON DE JESUS;CLINICA_GENERAL;20491287544;LIMA PROVINCIA;AVENIDA MARISCAL BENAVIDES NÚMERO 565 PISO 5 DISTRITO SAN VICENTE;Cañete;5813115;-13.075317041277286;-76.37887516021986
CENTRO MÉDICO ALTASALUD;CLINICA_GENERAL;20606365854;LIMA PROVINCIA;CALLE PEDRO REYES BARBOZA NÚMERO 190;Barranca;995960500;-10.754220017013727;-77.75998835480009
POLICLINICO NUEVA ESPERANZA E.I.R.L;CLINICA_GENERAL;20224800810;LIMA PROVINCIA;AVENIDA AV. SOLAR Nº 295;Huaral;01-2461586;-11.495296451578511;-77.20767978707983
SERVICIOS DE LABORATORIO HUARAL;CLINICA_GENERAL;20609486741;LIMA PROVINCIA;AVENIDA CAHUAS NÚMERO 700;Huaral;980759298;-11.492994372066608;-77.2044319541223
CLINICA VESALIO;CLINICA_QUEMADURA;20100178401;LIMA CENTRO;Cl. Joseph Thompon N° 140, Urb. Santo Tomas, San Borja;San Borja;(001) 618-9999;-12.106180385668305;-77.00693539272376
CLINICA HIGUERETA;CLINICA_QUEMADURA;20514189723;LIMA CENTRO;Av. Benavides 2951;Miraflores;4622980;-12.128071238203255;-77.00446789828514
CLINICA RICARDO PALMA;CLINICA_QUEMADURA;20100121809;LIMA CENTRO;Av. Javier Prado Este N° 1066, San Isidro;San Isidro;(001) 224-2224;-12.090413264743713;-77.01817427601372
MAPFRE CENTRO MEDICO INDEPENDENCIA;MED_FISIOTERAPIA;20418896915;LIMA NORTE;Av. Industrial Mz D Lt 12 Independencia;Independencia;922 996 516;-11.992372358539077;-77.0585166755039
MAPFRE CENTRO MEDICO SAN MIGUEL;MED_FISIOTERAPIA;20418896915;CALLAO - LIMA CERCADO;CALLE CARDENAL GUEVARA NÚMERO 132;San Miguel;998 634 204;-12.078818539154865;-77.09317412577316
MAPFRE CENTRO MEDICO MAGDALENA;MED_FISIOTERAPIA;20418896915;LIMA CENTRO;Av. Javier Prado Oeste N° 2501 Piso 1;Magdalena;941 958 054;-12.093792598064727;-77.05722261947803
MAPFRE CENTRO MEDICO SURCO;MED_FISIOTERAPIA;20418896915;LIMA SUR;Av. Caminos del Inca 238;Santiago de Surco;923 346 851;-12.11361156167214;-76.99178896016507
GRUPO SERVICIOS MEDICOS INTEGRALES;CLINICA_GENERAL;20521439425;LIMA;Av. Universitaria N° 491, San Miguel;San Miguel;(001) 655-5621;-12.08524642605253;-77.08298851474316
CLINICA AVIVA - SEDE LOS OLIVOS;CLINICA_GENERAL;20602393934;LIMA NORTE;AVENIDA ALFREDO MENDIOLA NÚMERO 6301 URBANIZACIÓN SANTA LUISA;Los Olivos;7154600;-11.95627992047269;-77.06940421674396
CLINICA AVIVA - SEDE COLONIAL;CLINICA_GENERAL;20602393934;LIMA CERCADO;AVENIDA Colonial NUMERO 443;Cercado de Lima;993752490;-12.046945504074973;-77.0471224731308
INTITUTO GAMMA KNIFE DEL PACIFICO;CLINICA_GENERAL;20524348234;LIMA;Calle Gervasio Santillana N° 245 Urb. Barboncito;Miraflores;7053126;-12.089881036958273;-77.03734686072829
MILENIUM SALUD;CLINICA_GENERAL;20469942300;LIMA;AV. PETIT THOUARS 4136;Miraflores;(001) 4229676;-12.103646564409885;-77.0301924061766
MEDAVAN- MEDICINA AVANZADA;CLINICA_GENERAL;20303766848;LIMA;Jirón Flora Tristán 206;Magdalena;(001) 261-1737;-12.092812818450454;-77.05648804274414
CLINICA SANENS;CLINICA_GENERAL;20601015235;LIMA;Av. Prolongación Ricardo Palma N° 298;Surquillo;1-7162999;-12.119477102807055;-77.02360746726347
CLINICA INTERNACIONAL;CLINICA_GENERAL;20100054184;LIMA - NO QUEMADURA;Jr. Washington N° 1471, Lima;Cercado de Lima;(001) 619-6161;-12.059068434710497;-77.03891257128642
CLINICA INTERNACIONAL SEDE SAN ISIDRO;CLINICA_GENERAL;20100054184;LIMA - NO QUEMADURA;AV. PASEO DE LA REPUBLICA Nº 3058 SAN ISIDRO;San Isidro;6196161-4100;-12.093078146268398;-77.02374530551825
CREO - CLINICA RENAL Y ONCOLOGICA;CLINICA_GENERAL;20110768151;LIMA;JIRÓN ELOY ESPINOZA SALDAÑA 700 PALAO CUARTA ETAPA;San Martin de Porres;01 -289 8300;-12.020101689626422;-77.0549596792073
SANNA - Centro Clínico La Molina;CLINICA_GENERAL;20507264108;LIMA;Av. Raúl Ferrero Rebagliati N° 1256 - La Molina;La Molina;(001) 635-5000;-12.09012189139744;-76.95027806386035
SANNA- Centro Clínico Chacarilla;CLINICA_GENERAL;20507264108;LIMA;Av. Primavera N° 336 Urb. Chacarilla del Estanque;Santiago de Surco;943884232;-12.111318119652829;-76.9901597405651
CLINICA SAN MARCOS;CLINICA_GENERAL;20543810003;LIMA;AV. SANTA ROSA 1719 - URB. INCA MANCO CAPAC;San Juan de Lurigancho;4590918;-12.001859003479858;-76.9994428636245
SAN PABLO - CLINICA JESUS DEL NORTE;CLINICA_GENERAL;20517738701;"LIMA - NO MFyR
NO QUEMADURA";Av. Carlos Izaguirre N° 149 – 153, Independencia;Independencia;(001) 613-4444;-11.989329561393332;-77.0584347024848
CLINICA SAN PABLO LA VICTORIA S.A.C;CLINICA_GENERAL;20605554505;LIMA - NO QUEMADURA;AVENIDA IQUITOS NUMERO 600;La Victoria;998354183;-12.066153018042248;-77.03059090921899
CLINICA SAN GABRIEL;CLINICA_GENERAL;20505018509;"LIMA - NO MFyR
NO QUEMADURA";Av. La Marina N° 2955, Urb. Maranga II Etapa, San Miguel;San Miguel;(001) 614-2222;-13.0125;-73.98083
"SAN PABLO - CLINICA SAN JUAN BAUTISTA- NUEVO
SAN JUAN";CLINICA_GENERAL;20508790971;LIMA - NO QUEMADURA;Jr. Los Zafiros Mz. g Lt. 10, San Juan de Lurigancho;San Juan de Lurigancho;(001) 610-4545;-12.07651752048553;-77.09465844537037
"SAN PABLO - CLINICA SANTA MARIA DEL SUR / SANTA
MARTHA DEL SUR";CLINICA_GENERAL;20517737560;LIMA - NO QUEMADURA;Av. Belisario Suarez N° 998, Zona C, S.Juan de Miraflores;San Juan de Miraflores;6156767;-12.162923040093881;-76.9648840006447
ASOCIACION MILAGRO DIVINO NIÑO JESUS;CLINICA_GENERAL;20511055912;LIMA;JR ISMAEL ESCOBAR 329;San Juan de Miraflores;612-6666;-12.14890447316715;-76.97672180470515
CLINICA LA LUZ;CLINICA_GENERAL;20537489295;LIMA;Av. Arequipa 1148;Cercado de Lima;6139292;-12.076187992378784;-77.03591505300672
CENTRO MEDICO JOCKEY SALUD;CLINICA_GENERAL;20512164073;LIMA;Av. Javier Prado Este N° 4200 - Santiago de Surco;Santiago de Surco;(001) 712-3456;-12.08500869832357;-76.97705145220793
MEDEX-MEDICINA EXTERNA;CLINICA_GENERAL;20100339936;LIMA;Av. Republica de Panama N° 3065,San Isidro;San Isidro;(001) 442-6284;-12.111957969996675;-77.010957585295
INVERSIONES MEGAVISION (PRONTTO SALUD);CLINICA_GENERAL;20510636784;LIMA;Av. Manco Capac N° 700;La Victoria;332-8711;-12.067253274184413;-77.02902127122381
SUIZA LAB;CLINICA_GENERAL;20330025213;LIMA;AVENIDA LA ENCALADA NÚMERO 1090;Santiago de Surco;(01) 612-6666;-12.105512063152597;-76.96978703372002
SUIZA LAB;CLINICA_GENERAL;20330025213;LIMA;AV ANGAMOS OESTE N° 300;Miraflores;(01) 612-6666;-12.113531240089172;-77.03164233559042
CLINICA QUIRURGICA SANTA MARIA;CLINICA_GENERAL;20330835568;LIMA;Calle Las águilas N° 360 Urb. Limatambo;Surquillo;6156767;-12.103257515867677;-77.0259452368904
CLINICA SANTA BEATRIZ;CLINICA_GENERAL;20566148006;LIMA;Jr. Ramon Dagnino 227;Jesus Maria;6116200;-12.071537226187214;-77.03818687131454
CLINICA SANTA BEATRIZ;CLINICA_GENERAL;20566148006;LIMA;Teodoro Cardenas N° 130;Cercado de Lima;4800535;-12.078093468274721;-77.03552346561857
CLINICA PORVENIR (DE MUJERES);CLINICA_GENERAL;20548568065;LIMA;AVENIDA FRANCISCO MARIATEGUI 1418;Jesus Maria;6528282;-12.077612201303321;-77.0507063528489
FMC MEDICAL CENTER CENTRO DE DIAGNOSTICO;CLINICA_GENERAL;20333896479;LIMA;Av. San Borja Sur. N° 237.;San Borja;(1) 6280796;-12.099690699838547;-77.00810179511339
CLINICA MUNDO SALUD;CLINICA_GENERAL;20509876712;LIMA;Carlos Yzaguirre N° 1234;Los Olivos;5235900;-11.991092889626268;-77.07627811041657
CLINICA SAN VICENTE;CLINICA_GENERAL;20102161336;LIMA;AV. PERÚ 3220 SAN MARTIN DE PORRES;San Martin de Porres;01-5683032;-12.031078540973667;-77.0812223484723
CM CLINICA LAS PALMERAS;CLINICA_GENERAL;20470389363;LIMA;AV. JAVIER PRADO OESTE 1465 SAN ISIDRO;San Isidro;4425879;-12.094210192994078;-77.04538225993683
CLINICA SAN BERNARDO;CLINICA_GENERAL;20100905800;LIMA;CALLE SAN JOSE 161 MAGDALENA;Pueblo Libre;051-4600437;-12.092519292326687;-77.06943845380934
CLINICA LOS ANDES;CLINICA_GENERAL;20348622812;LIMA;Cl. Asunción 177 - San Isidro;Miraflores;(001) 221-0468;-12.10463287478315;-77.03164076015965
"CENTRO MEDICO RICARDO PALMA SEDE PLAZA LIMA
SUR";CLINICA_GENERAL;20512065849;LIMA;Av. Prolongacion Paseo De La Republica s/n, urb. Matellini, Chorrillos;Chorrillos;(001) 617-8200;-12.17250288482095;-77.0125678699644
SAN MARTIN DEL ESTE;CLINICA_GENERAL;20548605793;LIMA;Av. Proceres de la Independencia N° 576 Urb. Chacarilla de Otero;San Juan de Lurigancho;998703939;-12.022176584676705;-77.00652281847749
SERVICIOS MEDICOS NATANAEL - MEDICAL PLUS;CLINICA_GENERAL;20549481401;LIMA;Jr. Coronel Camilo Carrillo 260, 1er Piso - Jesus Maria;Jesus Maria;(001) 330-7429;-12.073158211938406;-77.03860340015189
PIRPALAP - HOSPITAL MEGASALUD UNIVERSAL;CLINICA_GENERAL;20523788427;LIMA;AV. EMANCIPACION 785-791-799;Cercado de Lima;17638260;-12.049476;-77.032326
CLINICA ALVAREZ - INVERSIONES PARA LA CIENCIA Y;CLINICA_GENERAL;20607978809;LIMA;JIRÓN EL POLO N° 545 MZ D LT. 3AB URB. EL DERBY;Santiago de Surco;992732402;-12.102633321551954;-76.97219847182778
INTEGRAMEDICA;CLINICA_GENERAL;20549045848;LIMA;AVENIDA Guardia Civil NUMERO 664 URBANIZACION Corpac;San Borja;7112123;-12.095870883310557;-77.01115115347906
CONSORCIO MEDICO DESCENTRALIZADO;AMD;20525367747;LIMA;CALLE SOR TITA 136 DPTO 305 URB BENAVIDES;Miraflores;01-7437933;-12.129056;-77.008869
MASTER MEDIC - DOCTOR LIFE;AMD;20600009843;LIMA;CALLE LOS NAZCAS 280 URB. MARANGA ETAPA 2 SAN MIGUEL;San Miguel;724 6952 RPM #944 814 018;-12.07067;-77.08678
MED@HOME;AMD;20601763657;LIMA;Jr. Bolivar N° 472 Dpto 207;Miraflores;975112303;-12.11646;-77.03454
PLAN VITAL (OMNIA MEDICA);AMD;20100349061;LIMA;MARISCAL LA MAR 991 PISO 3;Magdalena;627-1925;-12.07027;-77.07054
CENTRO DE DIAGNOSTICO SAN ISIDRO;APOYO_DX;20510873727;LIMA;Av. Guardia Civil 254 San Isidro;San Isidro;(001) 226-3535;-12.090344764686854;-77.0076944257615
CENTRO DE MEDICINA HIPERBARICA;APOYO_DX;20333453721;LIMA;Av. Guzmán Blanco N° 199, Cercado;Cercado de Lima;(001) 433-5049;-12.060544807510114;-77.03906551758142
CEREMA-CENTRO DE RESONANCIA MAGNETICA;APOYO_DX;20260239121;LIMA;Cl. Velasquez N° 109, San Borja;San Borja;(001) 225-0030;-12.08774206257959;-76.99770556718441
UNITED - CIMEDIC CENTRO DE IMAGENES MEDICAS;APOYO_DX;20554862986;LIMA - NO RESONANCIA Y TOMOGRAFIA;Av. Arequipa N° 3362, San Isidro;San Isidro;(001) 442-2222;-12.099167261428287;-77.03256650011157
DIALYSIS SERVICE;APOYO_DX;20131200057;LIMA;Cl. Costa Rica N° 283, Urb. San Felipe, Jesus María;Jesus Maria;(001) 462-0311;-12.085590498582802;-77.05470870805978
DPI DEL PERU;APOYO_DX;20301806664;LIMA - NO RESONANCIA Y TOMOGRAFIA;Av. Dos De Mayo N° 602, San Isidro;San Isidro;(001) 202-3333;-12.090886646727744;-77.03732386441952
MEDIMAGEN - EMETAC;APOYO_DX;20101849831;LIMA;Av. Pettit Thouars 485;Miraflores;14217217;-12.107062735360282;-77.02895386998628
INSTITUTO DE IMÁGENES MEDICAS-CONSULTORIO EC;APOYO_DX;20303021508;LIMA;Av. Alfonso Ugarte N° 560, Lima;Cercado de Lima;(001) 4232309;-12.0471237193081;-77.04305411541955
INTEGRAMEDICA;APOYO_DX;20549045848;LIMA;AV. ALFREDO MENDIOLA 3698 C.C. MEGAPLAZA TIENDA A13;INDEPENDENCIA;711-2100;-11.992505922554857;-77.05954947365622
LITOTRICIA JAVIER PRADO;APOYO_DX;20510520212;LIMA;Av. Javier Prado Este N° 499, San Isidro;San Isidro;(001) 2114141;-12.091067707922651;-77.02846076223412
LITOTRICIA SAC;APOYO_DX;20522169316;LIMA;CALLE JAIME HERRERA ARDILES NO.307 PUEBLO LIBRE;Pueblo Libre;4606152;-12.07869547385843;-77.07342811359378
MED NUCLEAR;APOYO_DX;20520536176;LIMA;CALLE MONTE GRANDE Nº 109 OF Nº 202 CHACARILLA SANTIAGO DE SURCO;Santiago de Surco;01-3721149;-12.11142334476466;-76.99040953196166
RESOMASA;APOYO_DX;20536058690;LIMA;Av. Javier Prado Este Nº 1178 San Isidro;San Isidro;(001) 212-2034;-12.090128446411889;-77.01605377071245
RESOMASA;APOYO_DX;20536058690;LIMA;Av. Emilio Cavenecia Nº 265 San Isidro;San Isidro;(001) 421-5370;-12.108403167587682;-77.03800022206964
RESOCENTRO - RESONANCIA MEDICA;APOYO_DX;20297451023;LIMA;Av. Petit Thouars n° 4443,Miraflores;Miraflores;(001) 221-1630,(001) 221-0416;-12.106459795639573;-77.02945989275528
SCAN MEDIC - SIMEDIC;APOYO_DX;20538866041;LIMA;Jr. Vía Lactea N° 454 Urb. Haras Tyber Surco;Santiago de Surco;3552265;-12.091773028864983;-76.97266689879906
TOMOMEDIC;APOYO_DX;20502454111;LIMA;Cl. La Conquista N° 145, Urb. El  Derby de Monterrico, Surco;Santiago de Surco;(001) 610-33333,(001) 610-3219;-12.099371470710228;-76.97067589428887
MEDIMAGEN - EMETAC;APOYO_DX;20101849831;LIMA;AVENIDA Argentina NÚMERO 3093 DISTRITO CALLAO;Callao;998167998;-12.049174889320954;-77.11083551857877
CEDOMUH;MED_FISIOTERAPIA;20508763141;LIMA;Jr. Manuel del Pino 110, Lima;Cercado de Lima;2662315;-12.078760578249963;-77.03569624115507
CENTRO MEDICO OSI;MED_FISIOTERAPIA;20431738806;LIMA;Cl. Gonzales Prada N 385 Miraflores;Miraflores;7390888;-12.11620644064726;-77.02641824110151
CENTRO MEDICO OSI;MED_FISIOTERAPIA;20431738806;LIMA;Cl Saco Oliveros N 295 OF 303 Urb. Santa Beatriz-Lima;Cercado de Lima;7390888;-12.111145879388673;-76.98915331179334
CENTRO MEDICO OSI;MED_FISIOTERAPIA;20431738806;LIMA;Av. El pinar 198 Urb. Chacarilla - Santiago de Surco;Santiago de Surco;7390888;-11.989966804578719;-77.06779097789826
CENTRO MEDICO OSI;MED_FISIOTERAPIA;20431738806;LIMA;CALLE LOS ANTARES 320 INT. 202. TORRE B URB. ALBORADA;Santiago de Surco;4463693;-12.070750474308081;-77.08711758398557
CENTRO MEDICO OSI;MED_FISIOTERAPIA;20431738806;LIMA;Jose Santos Chocano N° 1010 Los olivos;Los Olivos;7390888;-12.11619727280107;-76.9993075424695
REHMED HOME;MED_FISIOTERAPIA;20507046291;LIMA;Av. Brasil 2330- Magdalena;Magdalena;4615459;-12.081806052610169;-77.05779253002754
CLINICA DE LA COLUMNA;MED_FISIOTERAPIA;20508690593;LIMA;Cl. Monte Rosa N° 125, Of. 2C3, C.C.Chacarrilla, Santiago de Surco;Santiago de Surco;(001) 372-7339;-12.110245493511377;-76.98271987256749
EN SALUD Y BIENESTAR;MED_FISIOTERAPIA;20562825488;LIMA;AVENIDA LOS RUISEÑORES NÚMERO 578 URBANIZACIÓN SANTA ANITA;Santa Anita;957997406;-12.04992697564992;-76.9666586848193
FISIOGROUP PERU;MED_FISIOTERAPIA;20602514235;LIMA;Av. Tupac Amaru N° 227;Comas;993445619;-11.970068175738096;-77.05753800805569
FISIOSERVICE;MED_FISIOTERAPIA;20522658945;LIMA;Av. Tupac Amaru 7885 1er piso -Urb San Juan Bautista -Comas;Comas;5247473;-11.914380636753828;-77.04003944666437
MEDIREHAB;MED_FISIOTERAPIA;20512394311;LIMA;AV. TALARA N° 281 URB. FUNDO OYAGUE JESUS MARIA;Jesus Maria;;-12.069293341505636;-77.04472310168146
NEOMEDICA;MED_FISIOTERAPIA;20546424317;LIMA;AVENIDA LARCO Nº 743 OFICINA 902;Miraflores;7244186;-12.124735441522532;-77.02847497976437
G&M FISIOTERAPIA - ALIVIAR;MED_FISIOTERAPIA;20602504540;LIMA;Av. Primavera N° 517 Dpto. 107 Urb. Chacarilla del Estanque;Santiago de Surco;944994828;-12.110305348356137;-76.98717359322816
SANUS VITA - MUNDO DE LA REHABILITACION;MED_FISIOTERAPIA;20551022367;LIMA;Jirón Los Jazmines N° 229 Urb. Los Jardines Viru - Bellavista;Callao;7255342;-12.05659;-77.11814
CENTRO MEDICO LA UNION;MED_FISIOTERAPIA;20603080603;LIMA;AVENIDA RAUL FERRERO REBAGLIATI 2A NÚMERO 1280 PISO 2 MANZANA C2 LOT;La Molina;7390888;-12.090388909809466;-76.95114005961895
CENTRO MEDICO LA UNION;MED_FISIOTERAPIA;20603080603;LIMA;JIRON CAPAC YUPANQUI N° 953;Jesus María;7390888;-12.090459469237736;-77.02468757262785
CENTRO MEDICO OSI;MED_FISIOTERAPIA;20431738806;LIMA;Av. Rafael Escardó Aguirre 656;San Miguel;7390888;-12.04675915209178;-77.07963308477757
CENTRO MEDICO OSI;MED_FISIOTERAPIA;20431738806;LIMA;Av. Aviación 4004;Surquillo;7390888;-12.11620644064726;-77.02641824110151
CENTRO MEDICO OSI;MED_FISIOTERAPIA;20431738806;LIMA;Av. Argentina 3096 Piso 2;Callao;7390888;-12.111145879388673;-76.98915331179334
CENTRO MEDICO LA UNION;MED_FISIOTERAPIA;20603080603;LIMA;Av. Javier Prado 757 Of 905;Magdalena;7390888;-12.090388909809466;-76.95114005961895
ALDI DENT;ODONTOLOGIA;20122774156;LIMA;Av. Brasil N° 2945, Magdalena;Magdalena;(001) 461-4338,(001) 461-0289;-12.074802;-77.052938
ALDI DENT;ODONTOLOGIA;20122774156;LIMA;Av.San Luis 1960 Int 201, San Borja;San Borja;2255121;-12.11646;-77.03454
ALDI DENT;ODONTOLOGIA;20122774156;LIMA;Av. Flora Tristan 586 - 588 Urb. Santa Patricia;La molina;4614338;-12.08333;-76.95
ASISDENT;ODONTOLOGIA;20538031993;LIMA;Av. Abancay 256 2do Piso Of 202 Lima;Cercado de Lima;(001) 426-6000;-12.043863;-77.024689
BELLE DENT;ODONTOLOGIA;20509327883;LIMA;Av. Paseo De La Republica 3691, Of. 802, San Isidro;San Isidro;(001) 222-7073;-12.11667;-77.05
CENTRO DENTAL SAN JOSE;ODONTOLOGIA;20546690203;LIMA;Av.Antunez de Mayolo N° 1008, Dpto. 301,Covida,Los Olivos;Los Olivos;(001) 522-1511,(001) 522-2005;-11.85111;-76.39056
CENTRO DENTAL SAN JOSE;ODONTOLOGIA;20546690203;LIMA;Av. Oscar R. Benavides N° 5016, Dto 402, Torre F, Urb. San Jose, Benavides, Callao;Callao;(001) 452-5396,(001) 464-7773;-11.85;-76.45
CENTRO DENTAL SAN JOSE;ODONTOLOGIA;20546690203;LIMA;Av. Geminis N° E - 27, Urb. Papa Juan XXIII, San Borja;San Borja;(001) 225-9510,(001) 226-1266;-12.11646;-77.03454
CENTRO DENTAL SAN JOSE;ODONTOLOGIA;20546690203;LIMA;Cl. Las Camelias N° 741-B, 3er. Piso, San Isidro;San Isidro;(001) 422-8306,(001) 222-8911;-12.11667;-77.05
CENTRO DENTAL SAN JOSE;ODONTOLOGIA;20546690203;LIMA;AVENIDA RAFAEL ESCARDO NÚMERO 771 URBANIZACIÓN MARANGA SEPTIMA ET;San Miguel;998707523;-12.07067;-77.08678
CENTRO MEDICO ODONTOLOGICO AMERICANO-COA;ODONTOLOGIA;20112280201;LIMA;Cl. Santa Sofia N° 109, Urb. Camacho, La Molina;La Molina;(001) 436-2883;-12.072002;-76.967817
CENTRO MEDICO ODONTOLOGICO AMERICANO-COA;ODONTOLOGIA;20112280201;LIMA;Jr. Camana N° 780, Oficina 508, Lima;Cercado de Lima;(001) 427-0158;-12.04318;-77.02824
CENTRO MEDICO ODONTOLOGICO AMERICANO-COA;ODONTOLOGIA;20112280201;LIMA;Cl. Las Chulpas N° 296, Oficina 201 - 202, Urb,. Zarate,SJLurigancho;San Juan de Lurigancho;(001) 458-6472;-12.01704;-77.00909
CENTRO MEDICO ODONTOLOGICO AMERICANO-COA;ODONTOLOGIA;20112280201;LIMA;Cl. Monseñor Jorge Dintilhac N° 717 - 1° Piso, San Miguel;San Miguel;(001) 451-5553;-12.07067;-77.08678
CENTRO MEDICO ODONTOLOGICO AMERICANO-COA;ODONTOLOGIA;20112280201;LIMA;Av. Guillermo Billinghurst Nº 619 Mz. G Lt. 33 Zona D Urb. SJ Miraflores;San Juan de Miraflores;(001) 275-4687;-12.162715;-76.962192
